0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
に,書き込む,とき,に,index,入れ,た,まま,に,し,て,た,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,改行,コード,抜く,の,忘れ,て,たし,謎,の,数字,は,言っ,て,ん,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
と,IDE,を,共存,さ,せる,の,は,つらい,こと,が,一般,に,知ら,れ,て,いる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前,に,Python,版,を,ちゃんと,やれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ー,とく,ちゃん,を,Kotlin,で,書き直し,て,みる,か,あ,〜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
テメー,は,別,だ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ちゃ,け,ちゃんと,勉強,し,た,やつ,Python,以外,そんなに,大差,なく,見える,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
な,言語,しか,触っ,て,ない,から,そろそろ,レガシー,な,言語,を,軽く,触っ,て,今,メイン,で,勉強,し,てる,言語,の,ありがた,さ,を,噛み締め,たい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
も,GUI,かける,けど,…,うん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,c,#,悪く,ない,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推し,は,Python,だ,けど,わかり,やすく,動く,もの,作れ,ない,し,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotlin,の,方,が,文法,とか,好き,な,ん,です,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
まで,まわり,の,C,#,er,の,せい,で,何となく,いい,イメージ,が,無かっ,た,…,ごめん,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
これ,…,C,#,エディタ,じゃん,(,悪口,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
の,アプリ,作る,なら,C,#,か,なあ,と,思っ,た,、,知ら,ん,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,デスク,トップ,の,アプリ,作る,のに,JVM,系,の,言語,使わ,ない,意味,ある,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,真っ暗,だっ,た,よ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
で,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
れ,ない,ので,星,の,写真,を,撮り,ます,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
もの,作る,なら,ちゃんと,理解,し,なきゃ,な,ん,だろ,う,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VS,使う,限り,そんなに,理解,なく,て,も,書き,進め,られる,の,すごい,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
の,作り方,が,雰囲気,AndroidJava,っぽい,し,、,こっち,は,VS,の,補完,で,だいぶ,楽,だ,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#、,だいたい,Java,じゃん,って,なっ,てる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
に,成り,ます,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
的,に,みんな,バイナリ,に,なる,から,一途,説,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ビッチ,じゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動,の,不人気,から,1,話,再生,数,トップ,まで,登り詰め,て,から,の,転落,模様,が,伝説,的,すぎる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
も,の,フレンズ,、,いろんな,意味,で,平成,を,代表,する,アニメ,に,なっ,てる,よ,ね,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
を,得,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
にゃ,ん,は,彼女,いる,ぞ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帳,で,JavaScript,書い,て,遊ん,で,た,記憶,が,おぼろ,に,ある,ので,JavaScript,書く,の,に,IDE,いる,の,？,(,笑,),みたい,な,なめ,た,こと,考え,て,しまっ,てる,、,フレーム,ワーク,使う,なら,便利,な,ん,だろ,う,が,,,,,,,,,,,,,,,,,,,,,
WebStorm,って,入れる,べき,か,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,は,IDE,に,注意,し,て,もらう,だけ,で,実行,時,に,なんか,する,とか,し,て,ない,から,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
に,ESLint,守ら,ない,と,コンパイル,通ら,ない,から,うるさく,感じる,だけ,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
規約,に関して,PEP,8,より,うるさく,ない,？,そんな,こと,ない,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
が,いい,ん,だろ,う,が,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とかいう,奴,めちゃくちゃ,うるさい,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
に,なり,たい,わかる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
？,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
が,ふ,ぁ,ー,ん,って,言っ,て,て,不安,に,なっ,てる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化,を,する,と,アトミックデザイン,みたい,な,こと,が,できる,の,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ページ,を,表現,する,とき,に,役に立つ,の,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
に,分ける,書き方,を,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
